common_name,iucn_status_category,population_trend_category,synonyms,missing_seq,suborder,family,subfamily,genus,subgenus,SL_TL_ratio_snoutventtotaillength_ratio,TOTL_mm_totallength_quant,SL_male_mm_snoutventlength_quant,SL_female_mm_snoutventlength_quant,HL_mm_headlength_quant,SE_mm_snouteyelength_quant,BW_mm_bodywidth_quant,FLL_mm_forelimblength_quant,HLL_mm_hindlimblength_quant,presacral_vertebrae_count,costal_grooves_count,subdigitalpad_binary,webbed_toes_binary,maxillary_teeth_binary,premaxillary_teeth_binary,vomerine_teeth_male_binary,vomerine_teeth_female_binary,elevation_m_maxaltitude_quant,habit_category,habitat_cat_course,toes_count,fingers_count,cvalue_quant,ndiploid_count,HW,Clutch size,Egg size,label,_key,length
unknown,LC,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,bolitoglossa,1.0,130.0,59.0,66.0,8.92,5.64,5.5,10.8,11.59,0,0,0,1.0,1,0,0,0,1052.0,0,0,0.0,0.0,62.7,26.0,0.0,0,0.0,Bolitoglossa_striatula,15,1.67564300000005
unknown,VU,decreasing,Pachyhynobius_yunanicus; Hynobius_yunanicus,False,Cryptobranchoidea,Hynobiidae,unknown,Pachyhynobius,unknown,1.6,186.75,107.65,107.65,23.7,10.6,14.425,20.925,27.35,0,0,0,0.0,0,0,0,0,0.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0,Pachyhynobius_shangchengensis,16,27.9319580000001
Black-spotted salamander,CR,decreasing,Bolitoglossa_nigromaculata,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Pseudoeurycea,unknown,0.8,112.0,56.0,56.0,6.59,4.89,5.89,8.56,9.3,0,13,0,1.0,50,50,22-22,22-22,1670.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,9.0,19.5,0.0,Pseudoeurycea_nigromaculata,17,15.135549
unknown,VU,stable,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Dendrotriton,unknown,1.3,60.45,34.0,34.0,7.25,4.3,2.55,7.95,9.25,0,0,0,1.0,1,0,0,0,2438.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0,Dendrotriton_xolocalcae,18,14.5763430000001
unknown,CR,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Cryptotriton,unknown,0.5710000000000001,85.25,31.0,31.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,2290.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Cryptotriton_veraepacis,19,14.5084240000001
Santa Lucia Mountains Slender Salamander,LC,stable,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Batrachoseps,unknown,0.5710000000000001,126.5,46.0,46.0,0,0.0,0.0,0.0,0.0,0,18.5,1,1.0,0,0,0,0,0.0,0,0,0.0,0.0,29.68,0.0,0.0,0,0.0,Batrachoseps_luciae,20,9.69305800000008
Oita Salamander,EN,decreasing,unknown,False,Cryptobranchoidea,Hynobiidae,unknown,Hynobius,unknown,1.0,160.0,80.0,80.0,11.35,8.1,8.25,18.7,22.25,0,11.5,0,0.0,0,0,0,0,0.0,semiaquatic,Semiaquatic,5.0,4.0,16.88,56.0,0.0,100,0.0,Hynobius_dunni,21,7.99958600000002
Smith's false brook salamander,CR,decreasing,Oedipus_smithi,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Pseudoeurycea,unknown,0.91,145.0,69.0,69.0,8.78,6.18,7.26,12.16,13.32,0,13,0,1.0,20-22,9,12-13,12-13,3000.0,Terrestrial,Terrestrial,5.0,4.0,40.3,26.0,12.0,0,0.0,Pseudoeurycea_smithi,22,6.25600000000002
unknown,NT,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,0.0,0.0,43.0,43.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,2500.0,0,0,0.0,0.0,43.6,26.0,0.0,0,0.0,Bolitoglossa_cuchumatana,23,3.37797300000005
Carolina Mountain Dusky Salamander,LC,stable,Desmognathus_ochrophaeus_carolinensis,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.02,110.0,65.0,65.0,12,0.0,0.0,0.0,0.0,0,14,0,1.0,0,0,0,7,2000.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,8.0,26,3.2,Desmognathus_carolinensis,24,12.3465850000001
Axolotl,CR,decreasing,Siredon_mexicana,False,Salamandroidea,Ambystomatidae,unknown,Ambystoma,unknown,1.1,300.0,160.0,160.0,45,0.0,0.0,38.0,40.0,0,12.5,0,0.0,P,P,24-32,24-32,2000.0,aquatic,Aquatic,5.0,4.0,34.75,28.0,37.0,600,2.3,Ambystoma_mexicanum,25,4.27029200000008
Long-toed Salamander,LC,stable,unknown,False,Salamandroidea,Ambystomatidae,unknown,Ambystoma,unknown,0.94,170.0,60.0,60.0,14,7.837999999999999,6.875,16.438,19.438,0,12.5,0,0.0,0,0,10,10,2700.0,0,0,5.0,4.0,28.72333333,28.0,10.0,345,2.3,Ambystoma_macrodactylum,26,15.9915560000001
unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.2,134.0,60.0,60.0,6.88,5.34,5.46,9.96,11.03,0,12.5,1,1.0,0,0,0,0,3444.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bolitoglossa_marmorea,27,10.4862550000001
Ensatina,LC,decreasing,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Ensatina,unknown,0.95,110.0,64.47,64.47,12.6,8.43,7.03,18.3,20.7,0,12,0,1.0,0,0,P,P,1800.0,Terrestrial,Terrestrial,5.0,4.0,38.87333333,28.0,10.0,16,7.8,Ensatina_eschscholtzii,28,54.3850520000001
One-toed Amphiuma,NT,decreasing,unknown,False,Salamandroidea,Amphiumidae,unknown,Amphiuma,unknown,3.0,212.65,164.75,164.75,12.075,5.725,6.525,2.025,1.85,0,0,0,0.0,0,0,0,0,150.0,aquatic,Aquatic,1.0,1.0,0.0,0.0,0.0,0,0.0,Amphiuma_pholeter,29,7.50292200000011
unknown,VU,stable,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.3,92.38,53.0,53.0,7.9,4.78,5.5,8.83,8.78,0,0,0,0.0,0,0,0,0,2200.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0,Bolitoglossa_palmata,30,12.93754
unknown,LC,stable,Bolitoglossa_bilineata,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,nanotriton,0.94,59.86,29.0,0.0,6.83,4.64,3.7,8.14,8.44,0,0,0,0.0,0,0,0,0,1800.0,0,0,5.0,4.0,43.5,26.0,0.0,0,0.0,Bolitoglossa_occidentalis,31,20.3760510000001
Roughskin Newt,LC,stable,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Taricha,unknown,0.8,220.0,73.25,73.25,19,9.638,10.187999999999999,22.488000000000003,23.438000000000002,0,0,0,0.0,0,0,0,0,2800.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,33.985,22.0,15.0,0,2.0,Taricha_granulosa,32,5.21609500000008
Lesser Siren,LC,unknown,unknown,False,Sirenoidea,Sirenidae,unknown,Siren,unknown,1.9,690.0,197.2,197.2,21.04,10.76,12.4,16.38,0.0,0,37,0,0.0,0,1,0,0,300.0,Aquatic,Aquatic,0.0,4.0,54.51333333,46.0,12.0,706,3.0,Siren_intermedia,33,11.0439440000001
