common_name,iucn_status_category,population_trend_category,synonyms,missing_seq,suborder,family,subfamily,genus,subgenus,SL_TL_ratio_snoutventtotaillength_ratio,TOTL_mm_totallength_quant,SL_male_mm_snoutventlength_quant,SL_female_mm_snoutventlength_quant,HL_mm_headlength_quant,SE_mm_snouteyelength_quant,BW_mm_bodywidth_quant,FLL_mm_forelimblength_quant,HLL_mm_hindlimblength_quant,presacral_vertebrae_count,costal_grooves_count,subdigitalpad_binary,webbed_toes_binary,maxillary_teeth_binary,premaxillary_teeth_binary,vomerine_teeth_male_binary,vomerine_teeth_female_binary,elevation_m_maxaltitude_quant,habit_category,habitat_cat_course,toes_count,fingers_count,cvalue_quant,ndiploid_count,HW,Clutch size,Egg size,label,_key,length
Chinhai Spiny Newt,CR,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Echinotriton,unknown,1.2,151.0,81.0,88.2,18.2,0.0,0.0,22.5,25.0,0,0,0,0.0,0,0,0,0,200.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,23.0,94,3.4,Echinotriton_chinhaiensis,65,12.7823470000001
Sharp-ribbed Salamander,NT,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Pleurodeles,unknown,0.9,312.0,90.425,90.425,20.837,11.588,19.387999999999998,24.25,29.561999999999998,15,0,0,0.0,0,0,0,0,1200.0,Aquatic,Aquatic,5.0,4.0,20.44,24.0,0.0,1300,2.0,Pleurodeles_waltl,66,11.8133770000001
unknown,VU,stable,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Nototriton,unknown,0.833,54.0,26.0,26.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,14.8,14.8,1650.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Nototriton_gamezi,67,1.35776100000014
Kern Canyon Slender Salamander,VU,stable,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Batrachoseps,unknown,0.76,130.0,56.0,56.0,0,0.0,0.0,0.0,0.0,0,20.5,0,0.0,0,0,0,0,1920.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Batrachoseps_simatus,68,3.14540500000008
Clouded Salamander,LC,decreasing,unknown,False,Cryptobranchoidea,Hynobiidae,unknown,Hynobius,unknown,1.3,125.0,70.0,70.0,10.15,6.1,7.925,12.275,15.2,0,13,0,0.0,0,0,0,0,300.0,semiaquatic,Semiaquatic,5.0,4.0,19.2,56.0,0.0,140,0.0,Hynobius_nebulosus,69,7.99958600000002
Japanese Giant Salamander,NT,decreasing,unknown,False,Cryptobranchoidea,Cryptobranchidae,unknown,Andrias,unknown,1.5,1500.0,650.0,650.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,100.0,aquatic,Aquatic,5.0,4.0,46.49,60.0,0.0,600,5.0,Andrias_japonicus,70,16.1198770000001
Strauch's Spotted Newt,VU,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Neurergus,unknown,0.99,190.0,74.3,74.3,15.75,10.1,12.5,24.15,26.3,0,0,0,0.0,0,0,0,0,2000.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,25.67,0.0,0.0,200,0.0,Neurergus_strauchii,71,11.540788
unknown,NT,stable,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,0.0,86.48,47.58,47.58,9.16,6.1,5.16,11.54,11.34,0,0,0,1.0,0,0,0,0,2290.0,0,0,0.0,0.0,51.0,26.0,0.0,0,0.0,Bolitoglossa_helmrichi,72,3.37797300000005
Tennessee Cave Salamander,VU,decreasing,unknown,False,Salamandroidea,Plethodontidae,Spelerpinae,Gyrinophilus,unknown,1.2,230.0,100.0,100.0,18,0.0,0.0,0.0,0.0,0,18,0,0.0,0,28,17,17,366.0,troglodytic-aquatic,Aquatic,5.0,4.0,0.0,0.0,0.0,0,3.2,Gyrinophilus_palleucus,73,1.78604400000008
Hokuriku Salamander,EN,decreasing,unknown,False,Cryptobranchoidea,Hynobiidae,unknown,Hynobius,unknown,1.2,124.0,66.8,59.5,13.8,4.3,0.0,16.8,20.2,0,12,0,0.0,0,0,54,44,100.0,semiqauatic,Semiaquatic,5.0,4.0,0.0,56.0,12.8,107,0.0,Hynobius_takedai,74,4.18738100000008
unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,3.9,77.9,62.0,62.0,8.06,5.58,5.56,10.46,10.94,0,0,0,1.0,0,0,0,0,1920.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bolitoglossa_porrasorum,75,14.3392530000001
Semirechensk Salamander,EN,decreasing,unknown,False,Cryptobranchoidea,Hynobiidae,unknown,Ranodon,unknown,0.0,183.025,85.975,85.975,19.475,9.975,11.625,22.95,27.25,17,0,0,0.0,0,0,0,0,0.0,0,0,5.0,4.0,24.075,66.0,0.0,0,0.0,Ranodon_sibiricus,76,17.7482310000001
Kings River Slender Salamander,VU,stable,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Batrachoseps,unknown,0.0,0.0,35.0,35.0,0,0.0,0.0,0.0,0.0,0,18.5,0,0.0,0,0,0,0,2470.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Batrachoseps_regius,77,13.9386140000001
Green Salamander,NT,decreasing,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,unknown,0.83,108.76,49.84,49.84,10.6,6.36,5.01,15.49,17.42,Na,14.5,0,1.0,1,1,9,9,762.0,"arboreal. Saxicalous, terrestrial",Terrestrial,5.0,4.0,43.79666667,28.0,8.0,22,4.5,Aneides_aeneus,78,39.7074150000001
Santeetlah Dusky Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.32,95.0,47.0,47.0,9,0.0,4.5,6.4,9.6,0,14,0,0.0,0,0,P,P,1800.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,6.0,0,0.0,Desmognathus_santeetlah,79,9.62111200000008
unknown,NT,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,oaxakia,2.7,100.01,68.0,73.0,8.14,5.75,5.56,12.05,13.08,0,0,0,1.0,0,0,0,0,2500.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bolitoglossa_macrinii,80,5.76239000000005
Abe's Salamander,CR,decreasing,unknown,False,Cryptobranchoidea,Hynobiidae,unknown,Hynobius,unknown,1.4,122.0,71.0,71.0,9.633,6.1,8.067,12.867,15.867,0,12,0,0.0,0,0,0,0,0.0,semiaquatic,Semiaquatic,5.0,4.0,0.0,56.0,0.0,109,0.0,Hynobius_abei,81,8.76674200000008
Holy-mountain Salamander,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,1.2,115.92,63.0,63.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,2418.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bolitoglossa_heiroreias,82,7.91926000000008
unknown,VU,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Neurergus,unknown,1.05,180.0,75.233,75.233,15.433,10.433,10.4,25.0,28.3,0,0,0,0.0,0,0,0,0,2000.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,34.97,0.0,0.0,200,0.0,Neurergus_crocatus,83,4.04513700000005
unknown,VU,decreasing,Spelerpes_leprosa ,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Pseudoeurycea,unknown,1.33,130.0,65.0,65.0,8.65,5.58,5.4,11.2,11.68,0,0,0,0.0,0,0,0,0,3600.0,0,0,5.0,4.0,27.8,26.0,7.62,0,0.0,Pseudoeurycea_leprosa,84,11.84778
Virginia dusky salamander,unknown,unknown,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.1,145.0,62.0,62.0,17,0.0,13.0,11.5,16.0,0,14,0,1.0,14,0,0,P,1560.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,10.0,19,4.0,Desmognathus_planiceps,85,10.6065340000001
Bell's False Brook Salamander,VU,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Pseudoeurycea,unknown,1.2,290.0,140.0,140.0,14.15,9.83,9.03,17.4,18.08,0,13,0,1.0,0,0,1,1,3300.0,Terrestrial,Terrestrial,5.0,4.0,46.6,26.0,0.0,22.3,0.0,Pseudoeurycea_bellii,86,12.023793
Southern Crested Newt,LC,decreasing,Triturus_cristatus_ssp._karelini; Triturus_cristatus_karelini,False,Salamandroidea,Salmandridae,Pleurodelinae,Triturus,unknown,1.4,180.0,82.0,74.0,0,0.0,0.0,0.0,0.0,14,0,0,0.0,0,0,P,P,2100.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,0.0,250,5.0,Triturus_karelinii,87,5.32596800000005
Yiwu Asian Salamander,VU,decreasing,unknown,False,Cryptobranchoidea,Hynobiidae,unknown,Hynobius,unknown,1.2,136.0,74.0,68.0,19,0.0,0.0,21.0,22.0,0,10.5,0,0.0,0,0,P,P,200.0,"semiaquatic, fossorial",Semiaquatic,5.0,4.0,0.0,56.0,17.0,64,3.0,Hynobius_yiwuensis,88,9.07552200000002
Inyo Mountains Salamander,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Batrachoseps,unknown,3.1,110.0,0.0,61.0,0,0.0,0.0,0.0,0.0,0,17,0,0.0,0,0,0,0,2600.0,0,0,0.0,0.0,34.5,0.0,0.0,0,0.0,Batrachoseps_campi,89,11.6465410000001
Pyrenean Brook Salamander,NT,decreasing,Euproctus_asper,False,Salamandroidea,Salmandridae,Pleurodelinae,Calotriton,unknown,1.43,143.0,78.0,78.0,20,7.667000000000001,7.667000000000001,19.0,22.0,0,0,0,0.0,0,0,0,0,2600.0,aquatic,Aquatic,5.0,4.0,27.62,24.0,0.0,30,5.0,Calotriton_asper,90,10.2093650000001
unknown,VU,stable,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.8,91.0,42.0,42.0,5.9,5.0,4.3,7.8,8.8,0,0,1,1.0,1,0,20,20,1280.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bolitoglossa_gracilis,91,7.02359000000005
Pigeon Mountain Salamander,VU,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,glutinosus,0.93,183.0,80.0,85.0,19,0.0,0.0,22.0,25.0,0,16,0,1.0,0,0,12,12,310.0,Terrestrial-saxicalous,Terrestrial,5.0,4.0,0.0,0.0,10.0,0,0.0,Plethodon_petraeus,92,12.5015620000001
unknown,LC,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Oedipina,unknown,0.44,131.6,57.68,57.68,6.92,3.72,4.66,7.48,9.08,0,19.5,0,0.0,0,0,0,0,770.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Oedipina_elongata,93,24.7787690000001
unknown,LC,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Oedipina,unknown,0.49,140.0,46.0,46.0,4.82,3.28,3.5,4.98,4.73,0,19.5,0,0.0,0,0,0,0,1780.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0,Oedipina_cyclocauda,94,4.05756400000008
unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.95,76.0,37.0,37.0,6.14,3.88,3.65,7.06,7.72,0,0,1,1.0,1,0,27.5,27.5,2100.0,0,0,0.0,0.0,48.7,26.0,0.0,0,0.0,Bolitoglossa_minutula,95,11.202071
Japanese Fire-bellied Newt,LC,stable,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Cynops,unknown,0.95,120.0,61.54,61.54,13.89,8.63,9.7,21.11,21.06,0,13,0,0.0,0,0,P,P,1000.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,35.72666667,24.0,0.0,200,2.0,Cynops_pyrrhogaster,96,13.07375
Bosca's Newt,LC,stable,Triturus_boscai,False,Salamandroidea,Salmandridae,Pleurodelinae,Lissotriton,unknown,1.01,94.0,30.5,30.5,7.875,4.75,3.35,11.3,11.7,0,0,0,0.0,0,0,0,0,1940.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,28.93,24.0,0.0,240,2.0,Lissotriton_boscai,97,16.256596
Gene's Cave Salamander,VU,decreasing,Speleomantes_genei; Atylodes_genei,False,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,unknown,1.2,99.6,70.6,70.6,13.7,9.4,5.7,22.2,22.4,0,0,0,0.0,0,0,0,0,646.0,Terrestrial-troglodytic,Terrestrial,5.0,4.0,42.63,0.0,0.0,0,0.0,Hydromantes_genei,98,18.5668830000001
Dayang Newt,EN,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Cynops,unknown,0.95,110.0,56.41,56.41,0,0.0,0.0,0.0,0.0,0,13,0,0.0,0,0,0,0,640.0,Terrestrial-Aquatic,Terrestrial-Aquatic,0.0,0.0,0.0,0.0,0.0,0,0.0,Cynops_orphicus,99,11.322778
Zhijin Warty Newt,unknown,unknown,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Paramesotriton,unknown,1.3,126.9,73.4,68.3,21.7,0.0,0.0,21.6,24.8,0,0,0,0.0,1,0,P,P,1400.0,Aquatic,Aquatic,5.0,4.0,0.0,0.0,0.0,0,0.0,Paramesotriton_zhijinensis,100,3.12051300000005
Robert's false brook salamander,CR,stable,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Pseudoeurycea,unknown,1.14,98.42,57.0,57.0,8.2,6.04,7.38,12.42,13.08,0,13,0,0.0,19.5,5,8.5,8.5,3600.0,Terrestrial,Terrestrial,5.0,4.0,52.4,26.0,8.9,0,0.0,Pseudoeurycea_robertsi,101,2.89499600000002
Idaho Giant Salamander,LC,stable,unknown,False,Salamandroidea,Dicamptodontidae,unknown,Dicamptodon,unknown,0.85,0.0,115.0,115.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Dicamptodon_aterrimus,102,2.24574100000008
Sequoia Slender Salamander,DD,unknown,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Batrachoseps,unknown,1.3,89.0,47.0,47.0,0,0.0,0.0,0.0,0.0,0,19,0,0.0,0,0,0,0,2205.0,0,0,0.0,0.0,33.2,0.0,0.0,0,0.0,Batrachoseps_kawia,103,7.76209100000008
Alpine Newt,LC,decreasing,Triturus_alpestris; Mesotriton_alpestris,False,Salamandroidea,Salmandridae,Pleurodelinae,Ichthyosaura,unknown,1.0,82.475,47.063,47.063,10.463,6.625,7.65,15.837,15.562000000000001,0,0,0,0.0,0,0,1,1,900.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,26.381999999999998,24.0,0.0,198,0.0,Ichthyosaura_alpestris,104,33.5912840000001
Akaishi sansho-uo,DD,unknown,unknown,False,Cryptobranchoidea,Hynobiidae,unknown,Hynobius,unknown,1.2,116.86,58.0,63.0,25.2,4.4,0.0,13.9,16.7,0,12.5,0,0.0,0,0,39,39,1200.0,semiaquatic,Semiaquatic,4.5,4.0,0.0,58.0,16.7,0,0.0,Hynobius_katoi,105,14.920233
Spring Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Spelerpinae,Gyrinophilus,unknown,1.4,219.0,100.68,100.68,20,10.4,9.81,16.14,19.38,0,18,0,0.0,0,0,0,0,2000.0,terrestrial-troglodytic-aquatic,Terrestrial,5.0,4.0,20.496,28.0,9.5,66,4.0,Gyrinophilus_porphyriticus,106,8.38500500000008
Morelos Salamander,EN,decreasing,"Oedipus_altamontanus, Bolitoglossa_altamontana ",False,Salamandroidea,Plethodontidae,Bolitoglossinae,Pseudoeurycea,unknown,1.06,79.65,48.0,48.0,7.55,5.25,5.9,11.1,12.1,0,0,0,0.0,0,0,0,0,3000.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Pseudoeurycea_altamontana,107,2.89499600000002
Odaigahara Salamander,VU,decreasing,unknown,False,Cryptobranchoidea,Hynobiidae,unknown,Hynobius,unknown,1.1,201.0,107.0,107.0,0,0.0,0.0,0.0,0.0,0,12.5,0,0.0,0,0,0,0,1500.0,0,0,5.0,4.0,0.0,58.0,0.0,47,0.0,Hynobius_boulengeri,108,9.54756200000002
Costa Rican Worm Salamander,NT,decreasing,Oedipina_bonitaensis; Oedipina_inusitata; Oedipina_longicauda; Oedipina_longissima; Oedipina_syndactyla; Ophiobatrachus_vermicularis,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Oedipina,unknown,0.3,215.0,57.0,57.0,4.98,3.21,3.57,4.02,4.17,19.5,19.5,0,1.0,46,0,0,0,2150.0,Terrestrial,Terrestrial,5.0,4.0,44.9,26.0,0.0,0,0.0,Oedipina_uniformis,109,4.89817900000005
Peaks Of Otter Salamander,VU,unknown,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,cinereus,0.79,131.0,53.83,53.83,8.2,4.81,4.16,9.38,11.6,0,19,0,1.0,0,0,6,6,550.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,7.0,15,0.0,Plethodon_hubrichti,110,5.49534600000008
unknown,VU,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,0.0,81.91,44.73,44.73,8.35,5.58,4.25,9.35,9.98,0,0,0,1.0,0,0,0,0,3300.0,0,0,5.0,4.0,47.8,26.0,0.0,0,0.0,Bolitoglossa_rostrata,111,6.53295200000005
Seal Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.14,150.0,80.0,76.0,13.2,8.61,8.44,12.28,17.53,0,14,0,0.0,0,0,P,P,1555.0,Terrestrial,Terrestrial,5.0,4.0,16.465,28.0,0.0,40,4.1,Desmognathus_monticola,112,12.3465850000001
unknown,VU,stable,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Nototriton,unknown,0.82,77.5,35.0,35.0,7.7,0.0,0.0,6.8,8.0,0,13,1,1.0,0,0,0,0,1370.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0,Nototriton_saslaya,113,5.75536200000011
Carpathian Newt,LC,decreasing,Triturus_montandoni,False,Salamandroidea,Salmandridae,Pleurodelinae,Lissotriton,unknown,1.2,100.0,44.3,44.3,9.8,6.5,5.35,15.9,15.25,0,0,0,0.0,0,0,1,1,2000.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,28.125,24.0,0.0,300,0.0,Lissotriton_montandoni,114,2.67918300000005
unknown,VU,decreasing,Spelerpes_copei,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,bolitoglossa,0.87,140.0,70.225,70.225,10.85,6.625,7.375,13.225,14.375,0,0,0,0.0,0,0,0,0,1500.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0,Bolitoglossa_mulleri,115,7.79558900000005
unknown,CR,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Nototriton,unknown,0.0,84.0,34.0,34.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,1140.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Nototriton_brodiei,116,7.59963100000011
unknown,VU,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Chiropterotriton,unknown,0.0,124.0,76.2,76.2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chiropterotriton_orculus,117,22.3715500000001
unknown,DD,unknown,Paramesotriton_laoensis,False,Salamandroidea,Salmandridae,Pleurodelinae,Laotriton,unknown,0.96,198.0,91.5,92.6,30.8,7.5,0.0,34.3,33.7,12,0,0,0.0,0,0,1,1,1100.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,24.2,0,0.0,Laotriton_laoensis,118,15.726554
unknown,CR,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Oedipina,unknown,0.69,113.65,46.0,46.0,0,0.0,0.0,0.0,0.0,0,17,0,0.0,1,1,15.5,17.3,0.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0,Oedipina_maritima,119,19.6071190000001
Common Fire Salamander,LC,decreasing,Salamandra_maculosa,False,Salamandroidea,Salmandridae,Salamandrinae,Salamandra,unknown,1.4,280.0,117.089,117.089,22.333,14.722000000000001,21.033,31.566999999999997,34.089,0,0,0,0.0,0,0,0,0,2500.0,0,0,5.0,4.0,34.17625,24.0,14.0,0,0.0,Salamandra_salamandra,120,6.52406500000005
unknown,LC,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Oedipina,unknown,1.3,100.98,57.0,57.0,5.13,3.32,3.52,6.52,8.03,0,17,0,0.0,0,0,0,0,700.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0,Oedipina_parvipes,121,13.2955470000001
Sierra Juarez salamander ,CR,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Pseudoeurycea,unknown,1.03,110.0,55.0,55.0,10.5,5.14,4.76,9.05,10.06,0,0,0,1.0,1,1,15-15,15-15,2900.0,Terrestrial,Terrestrial,5.0,4.0,27.2,26.0,7.5,20,0.0,Pseudoeurycea_juarezi,122,0.412166000000054
Atlantic Coast Slimy Salamander,unknown,unknown,Plethodon_glutinosus_chlorobryonis,False,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,glutinosus,0.89,110.66,69.0,62.5,10.37,5.87,5.93,12.2,14.9,0,16,0,0.0,0,0,17,17,12.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,8.9,19,0.0,Plethodon_chlorobryonis,123,0.726409000000023
Nanhu Salamander,unknown,unknown,unknown,False,Cryptobranchoidea,Hynobiidae,unknown,Hynobius,unknown,1.23,123.9,67.4,65.8,16.1,0.0,0.0,17.4,18.8,0,12,0,0.0,0,0,61,61,3400.0,semiaquatic,Semiaquatic,4.5,4.0,0.0,0.0,11.5,0,0.0,Hynobius_glacialis,124,6.99214600000005
unknown,CR,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Dendrotriton,unknown,0.47,100.0,30.07,30.07,4.86,3.96,3.26,7.26,7.61,0,0,0,1.0,0,0,0,0,2860.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Dendrotriton_cuchumatanus,125,10.8973900000001
Black-spotted Stout Newt,LC,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Pachytriton,unknown,1.08,193.0,100.8,98.0,23,10.6,13.25,19.25,25.65,0,0,0,1.0,0,0,P,P,1900.0,Aquatic,Aquatic,5.0,4.0,39.8,0.0,19.6,60,4.5,Pachytriton_brevipes,126,15.726554
Golden-striped Salamander,VU,decreasing,unknown,False,Salamandroidea,Salmandridae,Salamandrinae,Chioglossa,unknown,0.6,164.0,45.85,45.85,8,4.75,5.0,10.2,11.15,0,11,0,0.0,0,0,0,0,1500.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,29.22,24.0,0.0,20,8.0,Chioglossa_lusitanica,127,43.5169860000001
Northern Gray-cheeked Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,glutinosus,0.97,122.0,65.0,65.0,9.16,6.44,6.02,13.66,15.84,0,16.5,0,0.0,0,0,14,14,1543.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,9.0,0,0.0,Plethodon_montanus,128,1.49882200000002
Three-toed Amphiuma,LC,stable,unknown,False,Salamandroidea,Amphiumidae,unknown,Amphiuma,unknown,3.0,702.3,557.714,557.714,51.786,24.3,32.743,13.543,19.929000000000002,0,62,0,0.0,16-22,16-22,0,0,150.0,aquatic,Aquatic,3.0,3.0,0.0,0.0,37.5,150,7.0,Amphiuma_tridactylum,129,13.5171640000001
unknown,unknown,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.1,122.0,63.0,63.0,0,0.0,0.0,0.0,0.0,0,0,1,1.0,1,1,11,11,0.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0,Bolitoglossa_robinsoni,130,0.137408000000023
Neuse River Waterdog,NT,decreasing,unknown,False,Salamandroidea,Proteidae,unknown,Necturus,unknown,2.5,280.0,54.0,54.0,0,0.0,0.0,0.0,0.0,0,14,0,0.0,0,12,12,12,116.0,aquatic,Aquatic,4.0,4.0,120.565,38.0,24.0,35,8.0,Necturus_lewisi,131,20.1201790000001
unknown,VU,stable,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Dendrotriton,unknown,0.0,0.0,39.0,39.0,0,0.0,0.0,0.0,0.0,0,13,0,1.0,0,0,0,0,2744.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Dendrotriton_sanctibarbarus,132,17.6917420000001
Anderson's Salamander ,CR,decreasing,unknown,False,Salamandroidea,Ambystomatidae,unknown,Ambystoma,unknown,1.5,235.0,140.0,140.0,25,0.0,0.0,0.0,0.0,15,14,0,1.0,P,P,79,79,2000.0,semiaquatic,Semiaquatic,5.0,4.0,0.0,0.0,0.0,0,2.3,Ambystoma_andersoni,133,3.31863700000008
unknown,EN,decreasing,Bolitoglossa_nigroflavescens; Magnadigita_brevipes,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,0.0,129.0,54.63,54.63,9.71,6.46,6.5,12.59,13.53,0,0,0,1.0,0,0,0,0,2500.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Bolitoglossa_franklini,134,9.21749300000011
unknown,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,0.92,156.0,72.0,72.0,9.61,6.78,7.23,16.45,17.26,0,13,1,1.0,0,0,0,0,3000.0,0,0,0.0,0.0,58.7,26.0,0.0,0,0.0,Bolitoglossa_cerroensis,135,15.7309880000001
Orange-warted Salamander,NT,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Tylototriton,unknown,1.02,170.0,77.8,86.3,21.5,0.0,0.0,25.3,27.0,0,0,0,0.0,0,0,0,0,2500.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,24.0,18.3,300,3.0,Tylototriton_shanjing,136,5.88978800000003
unknown,EN,stable,unknown,False,Salamandroidea,Salmandridae,Salamandrinae,Lyciasalamandra,unknown,1.15,181.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,1300.0,Terrestrial-saxicalous,Terrestrial,5.0,4.0,0.0,0.0,0.0,ovovip,0.0,Lyciasalamandra_atifi,137,9.08537200000005
Eurycea Troglodytes Complex,DD,unknown,unknown,False,Salamandroidea,Plethodontidae,Spelerpinae,Eurycea,unknown,1.3,76.2,43.6,43.6,0,0.0,0.0,0.0,0.0,0,14,0,0.0,0,0,0,0,300.0,troglodytic-aquatic,Aquatic,0.0,0.0,0.0,0.0,0.0,0,0.0,Eurycea_troglodytes,138,6.25187200000005
