island/mainland,Group,Clade,Nmorpho,SVL,Tail,Head_length,Head_width,Head_depth,Lower_jaw_length,Outlever,Snout,Open,Close,Interlimb,Body_height,Body_width,Femur,Tibia,Tarsus,Ltoe,Hind_limb_length,Humerus,Radius,Carpus,Longest_toe,Forelimb_length,label,_key,length
M,M2b,Norops,3,40.03,71.43,11.07,6.1,4.98,11.2,10.24,8.44,0.96,1.8,18.7,4.65,5.67,11.92,12.32,7.29,6.54,38.07,7.69,6.02,2.14,3.37,19.21,granuliceps,110,7.8926643882
M,M2a,Norops,11,55.22,78.67,15.47,8.81,6.96,16.18,14.65,12.35,1.54,2.3,25.78,9.5,9,13.69,15.01,9.22,10.34,48.26,10.06,8.52,3.13,5.96,27.67,compressicauda,111,17.35200118
M,M1,Dactyloa,7,106.75,240.42,29,15.91,13.6,30.35,27.82,22.61,2.53,5.21,53.33,17.16,17.53,21.94,20.99,12.76,15.25,70.95,18.63,14.69,5.9,8.54,47.76,fraseri,112,19.998706716
M,M2b,Norops,3,59.21,117.47,14.86,8.01,6.99,14.73,13.68,11.31,1.05,2.37,28.64,6.83,8.46,17.02,16.24,10.04,9.6,52.89,10.92,8.82,3.81,4.86,28.41,lynchi,113,5.047168405
M,M2a,Norops,7,67.62,125.2,18.26,9.87,7.56,18.7,17.26,14.63,1.44,2.63,34.37,9.58,9.23,20.8,20.51,11.39,13.2,65.89,14.15,12.57,3.61,7.87,38.19,alvarezdeltoroi,114,21.78825078
I,I1,Dactyloa,16,56.44,98.58,15.52,8.38,6.41,16.31,14.9,12.48,1.41,2.42,27.31,8.04,9.45,11.7,12.32,8.01,8.28,40.31,10.34,8.94,3.19,4.67,27.14,bonairensis,115,31.264303292
I,I2,Anolis,16,44.78,83.46,14.34,5.95,5.06,14.24,13.42,10.58,0.83,2.84,21.54,3.73,3.34,10.39,10.27,4.09,8.17,32.91,6.66,5.93,1.51,4.72,18.82,pulchellus,116,12.07206477
M,M2b,Norops,3,53.78,96.96,15.37,7.54,6.46,14.82,13.69,11.44,1.13,2.25,24.8,6.21,8.84,12.14,11.77,7.14,7.6,38.65,8.88,6.06,2.82,3.61,21.36,tolimensis,117,4.059333908
M,M2a,Norops,5,50.69,102.58,13.66,7.29,5.82,13.5,12.3,10.34,1.2,1.96,24.97,5.91,6.25,14.3,14.46,8.17,9.56,46.49,10.1,7.98,3,4.62,25.69,gracilipes,118,23.565854628
M,M2a,Norops,3,38.43,58.39,11.05,6.19,4.86,11.23,10.54,8.84,0.69,1.7,17.54,5.99,6.47,9.4,9.77,5.93,7.29,32.39,6.94,5.85,2.15,4.24,19.19,duellmani,119,21.38679946
M,M1,Dactyloa,18,71.63,184.29,18.25,10.08,8.16,18.53,17.14,14.24,1.39,2.89,33.47,10.02,10.81,19.45,19.6,12.33,13.57,64.94,13.35,11.14,3.89,6.16,34.54,ventrimaculatus,120,22.78484107
M,M2a,Norops,3,59.41,118.61,15.59,9.82,7.67,15.62,14.46,12.05,1.16,2.41,27.52,7.6,9.03,18.25,18.52,10.72,10.02,57.51,13.01,10.2,3.1,4.8,31.11,chrysolepis,121,24.811236343
M,M2b,Norops,3,47.27,87.64,14.16,7.35,6.17,14.25,13.06,11,1.19,2.07,23.4,6.89,7.07,12.55,12.97,7.91,7.71,41.14,8.69,7.34,2.51,3.64,22.18,tropidogaster,122,7.362932125
I,I2,Norops,17,58.97,93.28,18.78,9.16,7.02,18.6,17.4,14.69,1.2,2.71,28.28,6.53,6.04,15.25,14.63,5.71,11.01,46.6,10.42,9.37,2.33,7.06,29.19,lineatopus,123,18.65496868
M,M2b,Norops,3,60.88,102.66,15.75,8.32,7.11,15.58,14.42,11.97,1.16,2.45,29.48,7.17,6.34,16.15,15.81,9.18,8.04,49.18,11.86,9.29,3.08,4.77,29,macrolepis,124,5.047168403
M,M2b,Norops,22,50.32,89.9,13.41,7.1,5.58,13.66,12.7,10.72,0.96,1.98,25.24,7,6.61,12.75,13.33,7.76,9.32,43.16,8.88,7.89,2.54,5.18,24.49,polylepis,125,15.10441077
M,M1,Dactyloa,14,51.15,61.29,14.71,6.85,5.99,14.27,13.4,11.39,0.88,2.01,25.06,7.04,7.28,8.23,7.87,4.78,6.82,27.7,7.15,5.95,2.65,4.5,20.24,tigrinus,126,19.93246393
M,M1,Dactyloa,1,31.53,41.84,10.46,4.88,4.63,9.92,9.06,7.59,0.86,1.47,14.79,3.65,3.15,4.78,5,3.46,3.35,16.59,4.66,3.07,1.28,2.42,11.43,williamsmittermeierorum,127,30.26041591
M,M2a,Norops,3,47.91,92.2,12.93,7.75,6.1,13.32,12.34,9.95,0.98,2.39,22.46,6.2,7.32,10.09,9.83,6.68,6.05,32.65,8.79,6.1,2.44,3.51,20.84,nebulosus,128,13.58488987
M,M2b,Norops,5,53.63,124.2,15.18,8.76,6.64,15.08,13.68,11.54,1.4,2.14,26.91,6.77,7.08,13.86,14.03,8.65,8.6,45.15,10.21,7.68,3.12,4.37,25.37,vittigerus,129,5.760172981
M,M1,Dactyloa,2,73.62,155.45,20.62,10.81,9.27,21.41,19.54,16.62,1.87,2.92,36.81,8.75,10.15,15.44,15.42,9.57,9.94,50.36,13.87,10.48,4.05,5.44,33.83,jacare,130,19.932463933
I,I2,Anolis,3,50.15,99.47,14.57,7.6,5.71,15.02,13.48,11.21,1.54,2.27,22.05,5.28,6.67,13.69,13.23,8.28,7.98,43.18,10.28,8.92,3.77,3.92,26.89,argenteolus,131,30.70550049
I,I2,Anolis,3,43.05,102.12,12.97,7.25,6.17,13.23,12.02,9.95,1.2,2.08,19.77,5.5,5.67,12.74,12.73,7.52,8.49,41.48,7.84,6.65,2.83,3.96,21.28,etheridgei,132,38.112062732
I,I2,Norops,9,70.38,86.56,21.05,9.49,8.12,20.66,19.63,16.34,1.03,3.29,35.01,7.09,7.07,13.59,11.59,3.97,8.88,38.03,9.76,8.32,1.99,5.79,25.86,valencienni,133,24.47172244
M,M1,Dactyloa,2,75.18,172.15,20.95,11.7,9.55,21.56,19.4,16.53,2.16,2.88,34.25,10.32,12.15,18.79,18.86,10.68,9.3,57.63,15.07,11.23,3.6,4.6,34.49,chocorum,134,14.13853427
M,M2a,Norops,2,71.61,157.94,19.79,10.84,8.92,19.98,18.61,15.08,1.38,3.53,33.89,9.28,12.12,18.27,17.75,10.49,11.64,58.15,13.35,10.58,3.93,5.52,33.37,woodi,135,13.74211707
M,M2a,Norops,16,36.62,49.79,11.73,6.61,5.16,11.8,10.85,9.06,0.94,1.8,16.31,6.22,6.58,8.95,9.76,6.06,6.21,30.98,6.64,5.64,2.05,3.36,17.68,uniformis,136,17.35200118
M,M2a,Norops,2,38.59,44.79,11.26,6.45,4.93,11.15,10.26,8.56,0.9,1.7,17.4,5.05,5.3,8.54,8.78,5.73,5.05,28.09,6.97,5.57,1.86,3.03,17.43,megapholidotus,137,20.729478335
M,M2a,Norops,3,43.16,80.85,12.24,6.83,5.2,12.56,11.11,9.3,1.45,1.81,17.65,5.83,5.9,10.26,10.59,6.48,6.45,33.78,8.28,6.28,2.2,3.41,20.17,subocularis,138,22.218571442
M,M1,Dactyloa,4,59.41,101.36,16.42,8.65,6.82,16.54,15.36,12.94,1.18,2.42,29.98,8.1,9.5,13.15,13.77,8.68,11.22,46.81,12.01,10.6,4.1,6.07,32.77,chloris,139,16.907225908
I,I2,Anolis,28,51.74,124.33,15.89,7.47,6.18,15.57,14.46,11.79,1.11,2.67,24.44,4.79,4.02,12.83,12.94,5.05,10.08,40.9,8.06,7.43,1.83,5.99,23.32,krugi,140,12.07206477
M,M2b,Norops,1,38.75,63.44,11.68,6.47,5.09,11.58,10.8,9.16,0.78,1.64,17.19,5.01,6.09,10.48,10.32,6.24,6.72,33.76,7.67,5.04,2.3,2.79,17.8,dollfusianus,141,11.22694758
M,M2a,Norops,2,48.1,117.36,14.32,8.44,6.34,14.61,13.46,11.22,1.16,2.24,23.85,6.26,8.97,10.61,11.06,6.76,7.26,35.68,7.93,6.29,2.55,3.83,20.59,sminthus,142,15.99704389
M,M2b,Norops,10,66.51,92.97,16.81,8.81,7.22,16.95,15.76,13,1.19,2.76,32.29,8.79,8.67,16.84,16.34,9.75,11.28,54.21,11.26,10.03,3.17,6.98,31.45,lionotus,143,11.88677173
M,M1,Dactyloa,2,99.41,209.94,25.9,14.59,12.11,27.37,25.84,20.99,1.53,4.86,53.15,14.54,17.04,24.97,25.62,16.07,19.46,86.11,18.59,17.14,6.13,10.73,52.58,princeps,144,7.0772912
M,M2a,Norops,3,51.9,95.48,15.1,9.41,7.33,15.69,14.19,11.84,1.51,2.35,23.29,8.21,8.48,13.56,14.5,9.44,9.16,46.67,10.37,8.38,2.91,4.69,26.35,tropidonotus,145,17.83163601
M,M2a,Norops,4,86.85,117.73,20.54,12.6,9.29,21.28,19.6,16.57,1.68,3.03,44.63,12.83,12.21,20.2,18.42,10.93,13.85,63.4,15.79,12.93,4.59,9.42,42.72,barkeri,146,21.38679946
