_from,_to
anolis2_internal/67,anolis2_internal/72
anolis2_internal/72,anolis2_leaf/29
anolis2_internal/72,anolis2_leaf/90
anolis2_internal/61,anolis2_internal/3
anolis2_internal/3,anolis2_leaf/74
anolis2_internal/3,anolis2_leaf/38
anolis2_internal/59,anolis2_leaf/17
anolis2_internal/83,anolis2_internal/22
anolis2_internal/22,anolis2_leaf/67
anolis2_internal/22,anolis2_leaf/88
anolis2_internal/80,anolis2_internal/58
anolis2_internal/58,anolis2_internal/12
anolis2_internal/12,anolis2_internal/45
anolis2_internal/45,anolis2_leaf/36
anolis2_internal/45,anolis2_leaf/45
anolis2_internal/12,anolis2_internal/52
anolis2_internal/52,anolis2_internal/18
anolis2_internal/18,anolis2_internal/73
anolis2_internal/73,anolis2_internal/37
anolis2_internal/37,anolis2_leaf/79
anolis2_internal/37,anolis2_internal/97
anolis2_internal/97,anolis2_leaf/94
anolis2_internal/97,anolis2_leaf/4
anolis2_internal/73,anolis2_leaf/99
anolis2_internal/18,anolis2_leaf/96
anolis2_internal/52,anolis2_internal/95
anolis2_internal/95,anolis2_internal/57
anolis2_internal/57,anolis2_internal/9
anolis2_internal/9,anolis2_leaf/26
anolis2_internal/9,anolis2_internal/56
anolis2_internal/56,anolis2_leaf/33
anolis2_internal/56,anolis2_internal/5
anolis2_internal/5,anolis2_leaf/76
anolis2_internal/5,anolis2_leaf/52
anolis2_internal/57,anolis2_leaf/43
anolis2_internal/95,anolis2_internal/75
anolis2_internal/75,anolis2_internal/1
anolis2_internal/1,anolis2_internal/20
anolis2_internal/20,anolis2_leaf/30
anolis2_internal/20,anolis2_leaf/50
anolis2_internal/1,anolis2_leaf/91
anolis2_internal/75,anolis2_leaf/49
anolis2_internal/58,anolis2_leaf/97
