domatia,label,_key,length
0,Psychotria_maingayi,119,0.02365231283
0,Psychotria_rubristipulata,120,0.002010541409
1,Squamellaria_thekii,121,0.001251667533
0,Psychotria_hazenii,122,1.0000005e-06
1,Anthorrhiza_echinella,123,0.001732554478
0,Psychotria_philacra,124,0.008766540779
0,Psychotria_papanga,125,0.02007067258
0,Psychotria_torresiana,126,0.008259704008
0,Psychotria_tahitensis,127,0.02017272332
0,Psychotria_erecta,128,1.0000005e-06
0,Psychotria_grandiflora,129,0.01096514693
0,Psychotria_pacorensis,130,0.02211815603
0,Psychotria_simmondsiana,131,0.03596476427
0,Psychotria_ankafinensis,132,0.008663083267
0,Psychotria_bracteocardia,133,0.01868096041
0,Psychotria_chagrensis,134,1.0000005e-06
1,Psychotria_nigra,135,0.02122671806
0,Amaracarpus_nematopodus,136,0.001748805023
0,Psychotria_humilis,137,0.01638528609
1,Psychotria_loniceroides,138,0.00921675618
0,Psychotria_simianensis,139,0.01010939969
0,Saldinia_littoralis,140,0.01153671495
0,Psychotria_albicaulis,141,0.0190161531
0,Psychotria_durilancifolia,142,1.0000005e-06
0,Psychotria_bifaria,143,0.008410858594
1,Hydnophytum_simplex,144,0.03699025466
1,Psychotria_orosiana,145,0.001002826956
1,Psychotria_mahonii,146,0.01733530034
0,Psychotria_gracilenta,147,0.004140755734
1,Anthorrhiza_caerulea,148,0.01531092771
0,Psychotria_cephalophora,149,0.001535204746
0,Psychotria_monteverdensis,150,1.0000005e-06
0,Psychotria_rhizomatosa,151,0.002008242731
0,Psychotria_luconiensis,152,0.04256476231
0,Psychotria_muscosa,153,0.01282084379
1,Psychotria_diversinodula,154,0.005004372264
0,Psychotria_mannii,155,0.002137592144
0,Psychotria_jinotegensis,156,0.007475833818
0,Psychotria_nutans,157,0.02182427397
0,Psychotria_boiviniana,158,0.02533311929
0,Psychotria_bullulata,159,0.002416209072
0,Psychotria_hobdyi,160,0.01580312907
0,Psychotria_greenwelliae,161,0.003231761836
0,Psychotria_gyrulosa,162,1.0000005e-06
0,Psychotria_clivorum,163,0.002638894062
0,Psychotria_caerulea,164,0.003504966962
0,Psychotria_subobliqua,165,0.002855370917
1,Myrmecodia_pteroaspida,166,0.02000965805
0,Psychotria_borjensis,167,1.0000005e-06
0,Psychotria_molinae,168,0.001231646771
0,Psychotria_costularia,169,0.01829777394
0,Psychotria_magnifica,170,0.0026920619932
0,Psychotria_rubra,171,0.001421086962
0,Psychotria_terniflora,172,0.00172950753
1,Psychotria_barbiflora,173,0.01358513786
0,Psychotria_faguetii,174,0.01268164845
0,Psychotria_zombamontana,175,0.008518226888
0,Psychotria_lantzii,176,0.03285728139
0,Saldinia_aegialodes,177,0.005828808987
0,Psychotria_brownei,178,0.01453673454
0,Calycosia_lageniformis,179,1.0000005e-06
0,Notopleura_anomothyrsa,180,1.0000005e-06
0,Psychotria_labatii,181,0.01957376638
0,Psychotria_ferreyrae,182,0.01590426566
0,Psychotria_brevipuberula,183,0.002607730634
0,Psychotria_leptophylla,184,0.01396824877
0,Psychotria_fosteri,185,1.0000005e-06
1,Psychotria_horizontalis,186,0.01592692215
1,Squamellaria_wilkinsonii,187,0.003425634103
0,Psychotria_subpunctata,188,0.006042662883
0,Psychotria_fruticetorum,189,0.01209046985
0,Psychotria_galeottiana,190,0.01241715586
1,Squamellaria_guppyana,191,0.003473304961
0,Psychotria_auxopoda,192,0.002209282842
1,Squamellaria_wilsonii,193,0.002940046778
0,Psychotria_insularum,194,0.002248957056
