,SL_TL_ratio_snoutventtotaillength_ratio_lowerCI95,SL_TL_ratio_snoutventtotaillength_ratio_estimate,SL_TL_ratio_snoutventtotaillength_ratio_upperCI95,TOTL_mm_totallength_quant_lowerCI95,TOTL_mm_totallength_quant_estimate,TOTL_mm_totallength_quant_upperCI95,SL_male_mm_snoutventlength_quant_lowerCI95,SL_male_mm_snoutventlength_quant_estimate,SL_male_mm_snoutventlength_quant_upperCI95,SL_female_mm_snoutventlength_quant_lowerCI95,SL_female_mm_snoutventlength_quant_estimate,SL_female_mm_snoutventlength_quant_upperCI95,SE_mm_snouteyelength_quant_lowerCI95,SE_mm_snouteyelength_quant_estimate,SE_mm_snouteyelength_quant_upperCI95,BW_mm_bodywidth_quant_lowerCI95,BW_mm_bodywidth_quant_estimate,BW_mm_bodywidth_quant_upperCI95,FLL_mm_forelimblength_quant_lowerCI95,FLL_mm_forelimblength_quant_estimate,FLL_mm_forelimblength_quant_upperCI95,HLL_mm_hindlimblength_quant_lowerCI95,HLL_mm_hindlimblength_quant_estimate,HLL_mm_hindlimblength_quant_upperCI95,elevation_m_maxaltitude_quant_lowerCI95,elevation_m_maxaltitude_quant_estimate,elevation_m_maxaltitude_quant_upperCI95,cvalue_quant_lowerCI95,cvalue_quant_estimate,cvalue_quant_upperCI95,HW_lowerCI95,HW_estimate,HW_upperCI95,label,_key,length
736,0.11095027827715,0.629298889980918,1.14764750168468,136.429750065436,188.435756659648,240.441763253859,29.0685150062089,54.9533938366594,80.83827266711,29.5464188672876,55.4126019945334,81.2787851217793,0.341773095882046,3.66621311619819,6.99065313651433,2.28147352566275,6.20187916146063,10.1222847972585,6.13058965724406,13.2337964290082,20.3370032007723,7.33913450082202,15.4070799006627,23.4750253005034,-27.0204495218645,801.945699205427,1630.91184793272,-4.2879082781775,13.9609087390253,32.2097257562282,-2.41842401927472,4.6855272583064,11.7894785358875,node 736,0,4.886899
809,-0.108023231590145,0.583295805234397,1.27461484205894,86.3163626584334,155.676522165039,225.036681671645,21.1846055446489,55.7071432679944,90.2296809913398,17.5010055609844,51.9986089153734,86.4962122697625,-3.15192750655646,1.28186207237531,5.71565165130708,-3.84483176682557,1.38379427153294,6.61242030989145,-7.33578773246474,2.13772478969845,11.6112373118616,-8.1201259208715,2.6400538443217,13.4002336095149,141.319003031057,1246.90714691483,2352.49529079861,-18.0970475022015,6.24131150690831,30.5796705160182,-9.43626650434625,0.0382389616248127,9.51274442759587,node 809,1,4.821771
528,0.211664046331575,1.07984007804584,1.94801610976011,90.1738703243131,177.278122965915,264.382375607516,31.543754681624,74.8980357137648,118.252316745906,32.7958952836003,76.1188631009434,119.441830918286,3.16265059915366,8.73071633588529,14.2987820726169,2.76202732152643,9.32826890247695,15.8945104834275,7.8994248852658,19.796502890908,31.6935808965503,9.67069942857358,23.1836068873169,36.6965143460601,92.6260495922138,1481.0517638272,2869.47747806219,-0.34508741976709,30.2196429253181,60.7843732704033,-5.64986121102086,6.24846375871309,18.146788728447,node 528,2,15.408114
564,0.295113350460101,1.04174544334759,1.78837753623507,94.123743174106,169.03347124018,243.943199306255,41.708570323864,78.9932872478541,116.278004171844,44.733558247796,81.9913457816102,119.249133315424,-0.937149106645523,3.85139195240929,8.63993301146411,-0.320696009612925,5.32627708674116,10.9732501830953,10.4869611244696,20.7184578787152,30.9499546329608,10.213926954894,21.8350383520777,33.4561497492614,216.793617061684,1410.84085975181,2604.88810244193,-21.8027173477463,4.48297559062233,30.768668528991,3.42026559790789,13.6528347422858,23.8854038866638,node 564,3,10.18225
739,0.396461546029632,1.01545727121816,1.6344529964067,54.5496783741301,116.653627413625,178.757576453119,12.1980373551727,43.1089513256125,74.0198652960523,13.0266659122563,43.9152540577554,74.8038422032546,1.80067715854852,5.77061961572519,9.74056207290186,-1.69565825154781,2.9859677329176,7.667593717383,3.30325009566733,11.7856778046953,20.2681055137234,-0.757247252061269,8.87724119991115,18.5117296518836,76.2554390152624,1066.18092700218,2056.1064149891,0.412945973708613,22.2051133844933,43.9972807952779,-2.96235227374794,5.52096450087741,14.0042812755028,node 739,4,3.896407
546,-0.170868459167248,0.984954244706055,2.14077694857936,59.5689160187175,175.532809433612,291.496702848507,5.39500401926734,63.1135547469431,120.832105474619,5.44693588172549,63.1237986068852,120.800661332045,-2.43426442112305,4.97862946223582,12.3915233455947,-3.67796800225971,5.06382032308001,13.8056086484197,-1.30444710055972,14.5344062728985,30.3732596463566,-2.26623887526792,15.7238053848975,33.7138496450629,-600.332077397028,1248.11098545231,3096.55404830166,-27.100557334525,13.5909706276772,54.2824985898793,-9.81049946165539,6.03001402375642,21.8705275091682,node 546,5,11.840555
631,0.2854801791452,1.31582876225515,2.3461773453651,16.4251206957442,119.800173696128,223.175226696512,-0.172201530050849,51.2805228039914,102.733247138034,-0.00855239110269679,51.4070095181307,102.822571427364,-2.64804773925897,3.96011515965952,10.568278058578,-4.98170354791577,2.81109130260675,10.6038861531293,-1.29398460426354,12.8254301439847,26.9448448922329,-1.8877440180157,14.1493320416864,30.1864081013885,-267.232128652671,1380.54714093936,3028.32641053139,-16.9477761807045,19.3263496345552,55.6004754498149,-10.0038225008809,4.11707214042833,18.2379667817376,node 631,6,21.011848
483,0.428917572450346,0.948561810726652,1.46820604900296,150.617280275451,202.753277309597,254.889274343744,70.5333083851188,96.4828871801925,122.432465975266,71.6097586696409,97.5405950310869,123.471431392533,-1.67336941323546,1.65938013609625,4.99212968542796,-1.68570175958633,2.24450303762953,6.1747078348454,13.9467222329669,21.0676836648882,28.1886450968095,16.32513512468,24.4132465753402,32.5013580260004,3034.48473962547,3865.5229119789,4696.56108433233,-17.9436379689034,0.350792466973749,18.6452229028509,11.0564399280194,18.1781477266704,25.2998555253214,node 483,7,2.854801
846,0.250739294575584,1.02095546290152,1.79117163122746,20.743973352401,98.0198958194577,175.295818286514,17.3451410260767,55.8075806665335,94.2700203069904,17.5807977083497,56.0154573324983,94.4501169566468,-0.274007900723938,4.6657901356999,9.60558817212374,-0.876460130706989,4.94888547437261,10.7742310794522,0.220528643245119,10.7752105292297,21.3298924152143,-0.0893681407845488,11.8988225320969,23.8870132049784,1181.92239539377,2413.68634021462,3645.45028503547,-20.7258982523683,6.39008817474254,33.5060746018534,-3.22987308234661,7.32591506765549,17.8817032176576,node 846,8,6.198211
581,0.285717752554263,0.977115715917267,1.66851367928027,67.2927259307296,136.660804150701,206.028882370673,33.4940043882162,68.0204834819801,102.546962575744,33.4530166832105,67.95455856131,102.456100439409,2.01140633078067,6.44570210677211,10.8799978827636,1.41234766461825,6.64157064495598,11.8707936252937,7.2576301302325,16.7322242247387,26.206818319245,6.2540097406792,17.0154179744909,27.7768262083026,396.661332367995,1502.37569908163,2608.09006579526,5.51739745607235,29.8585351278923,54.1996727997123,-6.49912431752829,2.97646283414827,12.4520499858248,node 581,9,5.201624
