domatia_0,domatia_1,label,_key,length
0.992829238680671,0.00717076131932892,node 600,0,0.0009257079017
0.999976474173828,2.3525826172343e-05,node 882,1,0.004488676347
0.00268623449958315,0.997313765500417,node 680,2,0.006912034299
0.999998391458057,1.60854194253838e-06,node 547,3,0.01468428452
0.999998101127509,1.89887249092836e-06,node 484,4,1.0000005e-06
0.999990087430241,9.91256975926547e-06,node 699,5,0.004863778906
1,8.56041640839373e-17,node 814,6,1.0000005e-06
0.999999949175352,5.08246481956406e-08,node 719,7,0.001925643854
0.999999999347982,6.52018040124178e-10,node 576,8,0.005355934069
0.999934351993805,6.56480061949793e-05,node 744,9,0.005956958861
0.999999999961467,3.85326018491976e-11,node 471,10,1.0000005e-06
0.999996947392092,3.05260790777173e-06,node 625,11,0.02059803868
0.999999999999997,2.87825054742702e-15,node 702,12,0.001759376608
0.694440626331959,0.305559373668041,node 458,13,0
0.999999961053552,3.89464483113884e-08,node 783,14,0.00113561314
0.999990643262959,9.35673704037565e-06,node 762,15,0.003768255294
0.999999997653067,2.34693256311284e-09,node 871,16,0.001209903824
0.999985422565879,1.45774341208038e-05,node 560,17,0.002863754935
0.999461859721338,0.000538140278662213,node 769,18,0.003922517497
0.999999999998398,1.60158360653696e-12,node 812,19,0.01282816159
0.999990643262959,9.35673704037565e-06,node 760,20,0.002264960198
0.998943219279959,0.00105678072004053,node 621,21,0.003169296291
0.999997280205704,2.71979429629765e-06,node 495,22,0.005417649223
0.881315095652038,0.118684904347962,node 747,23,0.02100750346
0.980069169043949,0.0199308309560507,node 738,24,0.004965714093
0.999995409487319,4.59051268060044e-06,node 799,25,0.005122509417
0.999999431865382,5.68134617808001e-07,node 736,26,0.001808577743
9.80815266497585e-05,0.99990191847335,node 671,27,0.001540917671
0.877098667188588,0.122901332811412,node 767,28,0.01085111897
0.999999986108429,1.38915705030182e-08,node 537,29,0.00054613204
0.999999877792721,1.22207278664038e-07,node 619,30,0.0007190163485
0.000505276558871968,0.999494723441128,node 662,31,0.01822112819
0.999996632680632,3.36731936771846e-06,node 791,32,0.001166937585
0.999978236454933,2.17635450674187e-05,node 567,33,0.004562519697
0.782437720502966,0.217562279497034,node 907,34,0.01888912336
0.999714091139435,0.00028590886056477,node 810,35,0.005865286763
0.999726200564663,0.000273799435337158,node 697,36,0.002164159216
0.999826075760822,0.000173924239177912,node 809,37,0.001579122019
0.999999506047751,4.93952249438934e-07,node 633,38,0.0005248025249
0.999967016095188,3.29839048121211e-05,node 846,39,0.005136898027
0.999999499173994,5.00826005761445e-07,node 684,40,1.0000005e-06
0.999593629904945,0.000406370095055348,node 796,41,0.002521885667
0.999999445737899,5.54262100434566e-07,node 782,42,0.004318983587
0.999964481036521,3.55189634788047e-05,node 873,43,0.005837737056
0.999998388255644,1.61174435579052e-06,node 852,44,0.0009572891782
0.999999960203161,3.97968389803227e-08,node 894,45,0.001846622692
0.999999441768616,5.58231383805048e-07,node 717,46,0.001954858827
0.999998613466549,1.38653345071087e-06,node 558,47,0.001478848781
0.999909885841554,9.01141584454471e-05,node 519,48,0.005921792274
0.999999999999997,2.87825065459499e-15,node 708,49,0.0126559502
0.993173343549241,0.00682665645075899,node 815,50,0.004982823681
0.999997312829431,2.68717056901605e-06,node 557,51,0.005102074494
0.999999999999981,1.90927588762387e-14,node 598,52,0.001601527116
0.999784962136076,0.00021503786392456,node 527,53,0.00945350506
0.999932968491387,6.7031508612648e-05,node 468,54,1.0000005e-06
