species,domatia
Psychotria_leptothyrsa,0
Psychotria_leratii,0
Psychotria_letouzeyi,0
Psychotria_leucopoda,1
Psychotria_liesneri,1
Psychotria_ligularis,0
Psychotria_ligustrifolia,0
Psychotria_limonensis,0
Psychotria_linearisepala,0
Psychotria_lokohensis,1
Psychotria_loniceroides,1
Psychotria_lorenciana,0
Psychotria_lorentzii,0
Psychotria_lucens,0
Psychotria_lucentifolia,0
Psychotria_lucidula,0
Psychotria_luconiensis,0
Psychotria_lundellii,1
Psychotria_luxurians,0
Psychotria_lyciiflora,0
Psychotria_macrochlamys,0
Psychotria_macroglossa,0
Psychotria_macrophylla,0
Psychotria_magnifica,0
Psychotria_mahonii,1
Psychotria_maingayi,0
Psychotria_manillensis,0
Psychotria_mannii,0
Psychotria_mapourioides,0
Psychotria_marginata,1
Psychotria_mariana,0
Psychotria_mariniana,0
Psychotria_marojejensis,0
Psychotria_mauiensis,0
Psychotria_mazaruniensis,0
Psychotria_medusula,0
Psychotria_megalocarpa,0
Psychotria_megistophylla,0
Psychotria_membranacea,0
Psychotria_menalohensis,0
Psychotria_mexiae,0
Psychotria_micralabastra,0
Psychotria_micrantha,0
Psychotria_microbotrys,0
Psychotria_micrococca,0
Psychotria_microdon,0
Psychotria_microglossa,0
Psychotria_milnei,0
Psychotria_miombicola,0
Psychotria_mirandae,0
Psychotria_molinae,0
Psychotria_monanthos,0
Psychotria_montana,0
Psychotria_monteverdensis,0
Psychotria_moratii,0
Psychotria_muscosa,0
Psychotria_nacdado,0
Psychotria_neillii,0
Psychotria_nervosa,0
Psychotria_nigra,1
Psychotria_nigropunctata,0
Psychotria_nubiphila,0
Psychotria_nummularioides,0
Psychotria_nutans,0
Psychotria_obovata,0
Psychotria_obtusifolia,0
Psychotria_officinalis,0
Psychotria_oleoides,0
Psychotria_olgae,0
Psychotria_orophila,0
Psychotria_orosiana,1
Psychotria_orosioides,0
Psychotria_ostreophora,0
Psychotria_pachygrammata,1
Psychotria_pacorensis,0
Psychotria_panamensis,0
Psychotria_pandurata,0
Psychotria_papanga,0
Psychotria_papantlensis,0
Psychotria_parkeri,0
Psychotria_parvifolia,0
Psychotria_parvula,0
Psychotria_peduncularis,0
Psychotria_perrieri,0
Psychotria_pervillei,0
Psychotria_peteri,0
Psychotria_petiginosa,0
Psychotria_philacra,0
Psychotria_pichisensis,0
Psychotria_pickeringii,0
Psychotria_pilosa,0
Psychotria_pittieri,0
