species,common_name,iucn_status_category,population_trend_category,synonyms,missing_seq,suborder,family,subfamily,genus,subgenus,SL_TL_ratio_snoutventtotaillength_ratio,TOTL_mm_totallength_quant,SL_male_mm_snoutventlength_quant,SL_female_mm_snoutventlength_quant,HL_mm_headlength_quant,SE_mm_snouteyelength_quant,BW_mm_bodywidth_quant,FLL_mm_forelimblength_quant,HLL_mm_hindlimblength_quant,presacral_vertebrae_count,costal_grooves_count,subdigitalpad_binary,webbed_toes_binary,maxillary_teeth_binary,premaxillary_teeth_binary,vomerine_teeth_male_binary,vomerine_teeth_female_binary,elevation_m_maxaltitude_quant,habit_category,habitat_cat_course,toes_count,fingers_count,cvalue_quant,ndiploid_count,HW,Clutch size,Egg size
Bolitoglossa_zacapensis,unknown,unknown,unknown,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,0.0,109.84,45.3,52.3,0,0.0,0.0,0.0,0.0,0,0,0,1.0,1,1,P,P,1750.0,arboreal,Terrestrial,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_zapoteca,unknown,DD,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,oaxakia,0.0,0.0,0.0,73.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,1875.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bradytriton_silus,unknown,CR,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bradytriton,unknown,1.4,74.5,46.2,48.75,8,4.8,5.5,9.3,9.6,0,0,0,0.0,1,1,P,P,0.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Calotriton_arnoldi,Montseny Brook Newt ,CR,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Calotriton,unknown,1.5,102.0,58.6,58.6,15.42,4.05,0.0,15.22,18.27,0,0,0,0.0,0,0,0,0,1200.0,aquatic,Aquatic,5.0,4.0,0.0,0.0,0.0,0,0.0
Calotriton_asper,Pyrenean Brook Salamander,NT,decreasing,Euproctus_asper,False,Salamandroidea,Salmandridae,Pleurodelinae,Calotriton,unknown,1.43,143.0,78.0,78.0,20,7.667000000000001,7.667000000000001,19.0,22.0,0,0,0,0.0,0,0,0,0,2600.0,aquatic,Aquatic,5.0,4.0,27.62,24.0,0.0,30,5.0
Chioglossa_lusitanica,Golden-striped Salamander,VU,decreasing,unknown,False,Salamandroidea,Salmandridae,Salamandrinae,Chioglossa,unknown,0.6,164.0,45.85,45.85,8,4.75,5.0,10.2,11.15,0,11,0,0.0,0,0,0,0,1500.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,29.22,24.0,0.0,20,8.0
Chiropterotriton_arboreus,unknown,CR,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Chiropterotriton,unknown,0.64,94.0,37.0,37.0,5.02,4.0,3.56,7.52,7.96,0,0,0,0.0,0,0,0,0,2100.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Chiropterotriton_chiropterus,unknown,CR,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Chiropterotriton,unknown,0.0,74.74,33.3,33.3,7.14,4.48,3.32,8.58,9.88,0,0,0,0.0,0,0,0,0,1200.0,0,0,5.0,4.0,24.7,0.0,0.0,0,0.0
Chiropterotriton_chondrostega,unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Chiropterotriton,unknown,1.2,52.3,29.0,29.0,4.3,2.95,2.88,5.25,5.63,0,13,0,0.0,0,0,P,P,2300.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Chiropterotriton_cracens,unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Chiropterotriton,unknown,0.67,77.5,31.0,31.0,0,0.0,0.0,0.0,0.0,0,13,0,0.0,0,0,P,P,2000.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Chiropterotriton_dimidiatus,unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Chiropterotriton,unknown,1.2,49.34,27.0,27.0,4.2,2.92,3.04,5.33,5.49,0,0,0,0.0,0,0,0,0,2700.0,0,0,5.0,4.0,27.8,26.0,0.0,0,0.0
Chiropterotriton_lavae,unknown,CR,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Chiropterotriton,unknown,1.3,61.31,35.0,35.0,6.18,3.89,3.46,8.03,9.07,0,11,0,1.0,0,0,0,0,1200.0,0,0,5.0,4.0,28.5,0.0,0.0,0,0.0
Chiropterotriton_magnipes,unknown,CR,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Chiropterotriton,unknown,1.4,103.75,60.0,60.0,9.15,7.33,6.8,15.28,15.42,0,0,0,0.0,0,0,0,0,1810.0,0,0,0.0,0.0,27.0,0.0,0.0,0,0.0
Chiropterotriton_mosaueri,unknown,DD,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Chiropterotriton,unknown,0.741,109.9,46.0,46.0,0,0.0,0.0,0.0,0.0,0,12.5,0,1.0,P,1,P,P,2160.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Chiropterotriton_multidentatus,unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Chiropterotriton,unknown,0.66,96.0,48.0,48.0,6.42,4.36,4.27,7.78,8.8,0,0,0,0.0,0,0,0,0,1800.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Chiropterotriton_orculus,unknown,VU,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Chiropterotriton,unknown,0.0,124.0,76.2,76.2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Chiropterotriton_priscus,unknown,NT,stable,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Chiropterotriton,unknown,1.1,96.64,50.0,50.0,8.9,5.3,5.11,9.85,11.37,0,0,0,0.0,0,0,0,0,3000.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Chiropterotriton_terrestris,unknown,CR,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Chiropterotriton,unknown,0.0,66.0,27.0,35.0,0,0.0,0.0,0.0,0.0,0,13,0,0.0,P,0,P,P,2000.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Cryptobranchus_alleganiensis,Hellbender,NT,decreasing,unknown,False,Cryptobranchoidea,Cryptobranchidae,unknown,Cryptobranchus,unknown,0.47,476.81199999999995,308.5,308.5,61.65,27.537,49.925,45.35,55.586999999999996,0,0,0,0.0,0,0,0,0,0.0,0,0,5.0,4.0,55.0,60.0,0.0,0,0.0
Cryptotriton_adelos,unknown,EN,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Cryptotriton,unknown,0.84,46.0,21.0,21.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,2050.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Cryptotriton_alvarezdeltoroi,unknown,EN,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Cryptotriton,unknown,0.79,59.0,26.0,26.0,5.15,1.7,3.0,5.5,6.3,0,0,0,0.0,0,0,0,0,1560.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Cryptotriton_monzoni,unknown,CR,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Cryptotriton,unknown,0.96,45.0,22.0,22.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,1570.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Cryptotriton_nasalis,unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Cryptotriton,unknown,0.0,61.46,35.0,35.0,5.54,3.7,3.44,6.44,6.9,0,0,0,0.0,0,0,0,0,2200.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Cryptotriton_sierraminensis,unknown,unknown,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Cryptotriton,unknown,1.0,70.95,35.43,35.43,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,2200.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Cryptotriton_veraepacis,unknown,CR,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Cryptotriton,unknown,0.5710000000000001,85.25,31.0,31.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,2290.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Cryptotriton_wakei,unknown,CR,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Cryptotriton,unknown,0.87,58.0,27.0,27.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,1150.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Cynops_chenggongensis,Chenggong fire belly newt ,DD,unknown,Cynops_cyanurus,True,Salamandroidea,Salmandridae,Pleurodelinae,Cynops,unknown,0.95,106.0,54.36,54.36,0,0.0,0.0,0.0,0.0,0,13,0,0.0,0,0,0,0,1940.0,Terrestrial-Aquatic,Terrestrial-Aquatic,0.0,0.0,0.0,0.0,0.0,0,0.0
Cynops_cyanurus,Chuxiong Fire-bellied Newt,LC,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Cynops,unknown,0.95,115.0,58.97,58.97,0,0.0,0.0,0.0,0.0,0,13,0,1.0,0,0,P,P,2600.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Cynops_ensicauda,Sword-tailed Newt,EN,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Cynops,unknown,0.95,156.0,80.0,80.0,13.74,8.68,9.02,20.56,20.56,0,13,0,0.0,0,0,0,0,2043.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,43.7,0.0,0.0,0,0.0
Cynops_fudingensis,Fuding Fire-bellied Newt,DD,unknown,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Cynops,unknown,1.0,80.0,41.02,48.2,15.2,0.0,0.0,14.7,15.7,0,13,0,0.0,0,0,P,P,718.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,9.8,0,0.0
Cynops_orientalis,Oriental Fire-bellied Newt,LC,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Cynops,unknown,0.95,90.0,46.15,46.15,0,0.0,0.0,0.0,0.0,0,13,0,0.0,0,0,P,P,1000.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,44.27,0.0,0.0,100,2.0
Cynops_orphicus,Dayang Newt,EN,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Cynops,unknown,0.95,110.0,56.41,56.41,0,0.0,0.0,0.0,0.0,0,13,0,0.0,0,0,0,0,640.0,Terrestrial-Aquatic,Terrestrial-Aquatic,0.0,0.0,0.0,0.0,0.0,0,0.0
Cynops_pyrrhogaster,Japanese Fire-bellied Newt,LC,stable,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Cynops,unknown,0.95,120.0,61.54,61.54,13.89,8.63,9.7,21.11,21.06,0,13,0,0.0,0,0,P,P,1000.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,35.72666667,24.0,0.0,200,2.0
Cynops_wolterstorffi,Yunnan Lake Newt,EX,unknown,unknown,True,Salamandroidea,Salmandridae,Pleurodelinae,Cynops,unknown,0.95,160.0,82.05,82.05,0,0.0,0.0,0.0,0.0,0,13,0,0.0,0,0,P,P,1800.0,Terrestrial-Aquatic,Terrestrial-Aquatic,0.0,0.0,0.0,0.0,0.0,0,0.0
Dendrotriton_bromeliacius,unknown,CR,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Dendrotriton,unknown,0.0,0.0,35.0,35.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,1,0,0,0,2700.0,0,0,0.0,0.0,36.9,26.0,0.0,0,0.0
Dendrotriton_chujorum,unknown,unknown,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Dendrotriton,unknown,0.9590000000000001,47.57,24.52,24.52,6,0.0,0.0,0.0,0.0,0,0,0,1.0,1,1,17,17,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Dendrotriton_cuchumatanus,unknown,CR,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Dendrotriton,unknown,0.47,100.0,30.07,30.07,4.86,3.96,3.26,7.26,7.61,0,0,0,1.0,0,0,0,0,2860.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Dendrotriton_kekchiorum,unknown,unknown,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Dendrotriton,unknown,0.909,70.13,31.23,31.23,7.56,0.0,0.0,0.0,0.0,0,0,0,1.0,1,1,25,25,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Dendrotriton_megarhinus,unknown,VU,stable,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Dendrotriton,unknown,0.0,0.0,37.5,37.5,0,0.0,0.0,0.0,0.0,0,0,0,1.0,1,0,0,0,2425.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Dendrotriton_rabbi,unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Dendrotriton,unknown,1.2,68.24,37.5,37.5,5.18,4.14,3.54,7.91,8.85,0,0,0,1.0,1,0,0,0,2700.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Dendrotriton_sanctibarbarus,unknown,VU,stable,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Dendrotriton,unknown,0.0,0.0,39.0,39.0,0,0.0,0.0,0.0,0.0,0,13,0,1.0,0,0,0,0,2744.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Dendrotriton_xolocalcae,unknown,VU,stable,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Dendrotriton,unknown,1.3,60.45,34.0,34.0,7.25,4.3,2.55,7.95,9.25,0,0,0,1.0,1,0,0,0,2438.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Desmognathus_abditus,Cumberland Dusky Salamander,NT,unknown,Desmognathus_ocoee,True,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.03,75.5,38.0,35.0,9.1,0.0,5.0,7.2,9.8,0,15,0,0.0,0,0,0,0,599.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,5.7,0,0.0
Desmognathus_aeneus,Seepage Salamander,NT,decreasing,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,0.84,57.0,25.98,25.98,5.4,3.3,2.58,4.68,7.14,0,13.5,0,1.0,20,1,8,8,1340.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,0.0,18,3.0
Desmognathus_apalachicolae,Apalachicola Dusky Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,0.94,110.0,54.63,54.63,10.2,2.7,6.4,7.5,0.0,0,14,0,1.0,1,1,0,0,171.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,7.2,0,0.0
Desmognathus_auriculatus,Southern Dusky Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,0.96,163.0,56.64,56.64,10,6.08,6.06,8.59,13.04,0,14,0,0.0,0,0,0,6,75.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,8.5,20,0.0
Desmognathus_brimleyorum,Ouachita Dusky Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.15,180.0,74.96,74.96,14.22,8.74,8.99,13.3,19.04,0,14,0,1.0,0,0,0,11,790.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,10.0,24,5.0
Desmognathus_carolinensis,Carolina Mountain Dusky Salamander,LC,stable,Desmognathus_ochrophaeus_carolinensis,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.02,110.0,65.0,65.0,12,0.0,0.0,0.0,0.0,0,14,0,1.0,0,0,0,7,2000.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,8.0,26,3.2
Desmognathus_conanti,Spotted Dusky Salamander,unknown,unknown,Desmognathus_fuscus_conantil,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.09,127.0,56.05,56.05,12.4,0.0,0.0,0.0,0.0,0,14,0,1.0,0,0,11,20,750.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,7.7,0,0.0
Desmognathus_folkertsi,Dwarf Black-bellied Salamander,DD,unknown,Desmognathus_quadramaculatus,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.3,143.0,81.0,75.0,11.3,0.0,9.5,12.8,18.4,0,14,0,0.0,0,0,0,0,834.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,13.7,0,0.0
Desmognathus_fuscus,Dusky Salamander,LC,stable,Desmognathus_fuscus_fuscus,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.18,141.0,50.69,50.69,9.89,6.13,6.35,9.44,13.53,0,14,0,0.0,0,0,0,7,1430.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,16.166,28.0,8.0,24,4.5
Desmognathus_imitator,Imitator Salamander,LC,stable,Desmognathus_fuscus_imitator,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,0.86,110.0,46.06,46.06,9.54,5.86,4.8,9.72,13.12,0,14,0,0.0,0,0,0,0,2024.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,0.0,0,0.0
Desmognathus_marmoratus,Shovelnose Salamander,LC,stable,Leurognathus_marmorata,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.08,150.0,73.0,78.0,13.6,9.95,10.15,14.9,19.45,0,14,0,1.0,0,0,0,0,1219.0,Aquatic,Aquatic,5.0,4.0,16.57,28.0,11.0,28,4.0
Desmognathus_monticola,Seal Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.14,150.0,80.0,76.0,13.2,8.61,8.44,12.28,17.53,0,14,0,0.0,0,0,P,P,1555.0,Terrestrial,Terrestrial,5.0,4.0,16.465,28.0,0.0,40,4.1
Desmognathus_ochrophaeus,Allegheny Mountain Dusky Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,0.95,110.0,41.17,41.17,7.92,5.09,4.62,7.71,11.17,0,14,0,1.0,0,0,0,6,1463.0,Terrestrial ,Terrestrial,5.0,4.0,15.585,0.0,5.5,37,3.0
Desmognathus_ocoee,Ocoee Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,0.83,110.0,49.8,44.0,0,0.0,0.0,0.0,0.0,0,14,0,0.0,0,0,0,0,1560.0,Terrestrial-Aquatic,Terrestrial-Aquatic,0.0,0.0,0.0,0.0,0.0,28,3.0
Desmognathus_orestes,Blue Ridge Dusky Salamander,LC,stable,Desmognathus_ochrophaeus,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.02,110.0,35.0,35.0,8.6,0.0,5.7,7.4,11.2,0,14.5,0,1.0,0,1,0,7,1701.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,6.6,16,0.0
Desmognathus_organi,Northern Pygmy salamander,unknown,unknown,Desmognathus_wrighti,True,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.5,60.0,24.4,24.6,0,0.0,0.0,0.0,0.0,0,14,0,0.0,1,1,6,6,1100.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,0.0,10,0.0
Desmognathus_planiceps,Virginia dusky salamander,unknown,unknown,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.1,145.0,62.0,62.0,17,0.0,13.0,11.5,16.0,0,14,0,1.0,14,0,0,P,1560.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,10.0,19,4.0
Desmognathus_quadramaculatus,Blackbelly Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.27,210.0,120.0,120.0,15.84,8.89,9.51,12.4,16.81,0,14,0,1.0,0,0,P,P,1650.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,17.18666667,0.0,16.0,56,6.0
Desmognathus_santeetlah,Santeetlah Dusky Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.32,95.0,47.0,47.0,9,0.0,4.5,6.4,9.6,0,14,0,0.0,0,0,P,P,1800.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,6.0,0,0.0
Desmognathus_welteri,Black Mountain Salamander,LC,stable,Desmognathus_fuscus_welteri,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.12,170.0,95.0,95.0,12.29,8.37,7.88,12.04,16.51,0,14,0,0.0,0,0,0,P,1220.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,0.0,0,0.0
Desmognathus_wrighti,Pygmy Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.33,51.0,29.12,29.12,5.96,3.52,2.72,6.0,7.68,0,13.5,0,1.0,0,0,P,P,2082.0,Terrestrial,Terrestrial,5.0,4.0,13.895,0.0,4.0,14,3.5
Dicamptodon_aterrimus,Idaho Giant Salamander,LC,stable,unknown,False,Salamandroidea,Dicamptodontidae,unknown,Dicamptodon,unknown,0.85,0.0,115.0,115.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Dicamptodon_copei,Cope's Giant Salamander,LC,stable,unknown,False,Salamandroidea,Dicamptodontidae,unknown,Dicamptodon,unknown,1.1,137.05,83.25,83.25,14.1,8.85,11.4,19.1,20.8,0,0,0,0.0,0,0,0,0,0.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Dicamptodon_ensatus,California Giant Salamander,NT,unknown,unknown,False,Salamandroidea,Dicamptodontidae,unknown,Dicamptodon,unknown,0.66,178.8,108.0,108.0,25.325,16.5,16.975,27.0,35.1,0,0,0,0.0,0,0,0,0,0.0,0,0,5.0,4.0,56.76,28.0,0.0,0,0.0
Dicamptodon_tenebrosus,Pacific Giant Salamander,LC,stable,unknown,False,Salamandroidea,Dicamptodontidae,unknown,Dicamptodon,unknown,0.75,154.8,91.6,91.6,22.4,15.0,14.9,24.9,31.7,0,0,0,0.0,0,0,0,0,0.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Echinotriton_andersoni,Anderson's Crocodile Newt,EN,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Echinotriton,unknown,1.02,162.1,82.5,82.5,18.45,11.95,17.3,24.85,26.15,0,0,0,0.0,0,0,0,0,200.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,0.0,0,3.2
Echinotriton_chinhaiensis,Chinhai Spiny Newt,CR,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Echinotriton,unknown,1.2,151.0,81.0,88.2,18.2,0.0,0.0,22.5,25.0,0,0,0,0.0,0,0,0,0,200.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,23.0,94,3.4
Ensatina_eschscholtzii,Ensatina,LC,decreasing,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Ensatina,unknown,0.95,110.0,64.47,64.47,12.6,8.43,7.03,18.3,20.7,0,12,0,1.0,0,0,P,P,1800.0,Terrestrial,Terrestrial,5.0,4.0,38.87333333,28.0,10.0,16,7.8
Euproctus_montanus,Corsican Brook Salamander,LC,stable,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Euproctus,unknown,1.0,100.0,52.0,48.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,2260.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,23.1,24.0,0.0,60,4.1
Euproctus_platycephalus,Sardinian Brook Salamander,EN,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Euproctus,unknown,0.99,140.0,62.0,50.0,17.4,0.0,0.0,17.0,18.3,0,0,0,0.0,0,0,0,0,1800.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,0.0,221,5.0
Eurycea_aquatica,"Rose and Bush, 1963",CR,decreasing,unknown,False,Salamandroidea,Plethodontidae,Spelerpinae,Eurycea,unknown,1.1,85.5,44.8,44.8,0,0.0,0.0,0.0,0.0,0,13,0,0.0,0,0,0,0,0.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,0.0,50,0.0
Eurycea_bislineata,Northern Two-lined Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Spelerpinae,Eurycea,unknown,0.75,121.0,40.9,53.0,9,4.11,3.92,7.95,10.2,0,15.5,0,0.0,0,0,12,12,2000.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,26.91666667,28.0,5.0,110,3.0
Eurycea_chamberlaini,Chamberlain_�_s Dwarf Salamander,DD,unknown,Eurycea_quadridigitata,True,Salamandroidea,Plethodontidae,Spelerpinae,Eurycea,unknown,0.62,81.0,30.0,30.0,6.5,1.2,4.5,0.0,0.0,17,16,0,0.0,0,0,9,9,0.0,Terrestrial-Aquatic,Terrestrial-Aquatic,4.0,4.0,0.0,0.0,3.7,48,0.0
Eurycea_chisholmensis,Chisholm Trail Salamander,VU,unknown,unknown,False,Salamandroidea,Plethodontidae,Spelerpinae,Eurycea,unknown,0.85,57.0,37.99,37.99,0,0.0,0.0,0.0,0.0,18,15.5,0,0.0,0,18,0,0,193.0,Aquatic,Aquatic,5.0,4.0,0.0,0.0,0.0,0,0.0
Eurycea_cirrigera,Southern Two-lined Salamander,LC,stable,Eurycea_bislineata_cirrigera,False,Salamandroidea,Plethodontidae,Spelerpinae,Eurycea,unknown,0.72,160.01,41.61,41.61,9,9.15,3.98,18.5,11.23,0,13.5,0,0.0,0,1,10,10,2000.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,25.0,0.0,6.0,110,0.0
Eurycea_guttolineata,Three-lined Salamander,LC,stable,Eurycea_guttolineata_longicauda,False,Salamandroidea,Plethodontidae,Spelerpinae,Eurycea,unknown,0.68,200.0,51.0,51.0,11,0.0,6.5,12.36,15.0,0,13.5,0,0.0,0,0,12,12,1000.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,0.0,0,0.0
Eurycea_junaluska,Junaluska Salamander,VU,stable,unknown,False,Salamandroidea,Plethodontidae,Spelerpinae,Eurycea,unknown,1.11,100.0,47.0,49.0,8.6,4.73,4.33,9.93,11.84,0,14,0,0.0,0,0,12,12,730.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,6.7,68,3.0
