species,common_name,iucn_status_category,population_trend_category,synonyms,missing_seq,suborder,family,subfamily,genus,subgenus,SL_TL_ratio_snoutventtotaillength_ratio,TOTL_mm_totallength_quant,SL_male_mm_snoutventlength_quant,SL_female_mm_snoutventlength_quant,HL_mm_headlength_quant,SE_mm_snouteyelength_quant,BW_mm_bodywidth_quant,FLL_mm_forelimblength_quant,HLL_mm_hindlimblength_quant,presacral_vertebrae_count,costal_grooves_count,subdigitalpad_binary,webbed_toes_binary,maxillary_teeth_binary,premaxillary_teeth_binary,vomerine_teeth_male_binary,vomerine_teeth_female_binary,elevation_m_maxaltitude_quant,habit_category,habitat_cat_course,toes_count,fingers_count,cvalue_quant,ndiploid_count,HW,Clutch size,Egg size
Bolitoglossa_nicefori,unknown,LC,stable,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.0,94.0,47.0,47.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,1700.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_nigrescens,unknown,EN,decreasing,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.25,169.0,94.0,94.0,0,0.0,0.0,0.0,0.0,0,0,1,1.0,1,1,42.7,42.7,3000.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_ninadormida,unknown,unknown,unknown,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,0.0,105.9,41.8,57.1,13.6,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,3220.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_nussbaumi,unknown,unknown,unknown,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,0.0,95.5,0.0,53.4,12.6,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,3259.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_nympha,unknown,unknown,unknown,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,nanotriton,0.0,77.7,42.0,42.0,9.9,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,600.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_oaxacensis,unknown,DD,unknown,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,oaxakia,0.0,0.0,56.0,56.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0,0,1800.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_obscura,Tapant� Giant Salamander,VU,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,eladinea,1.16,163.3,87.7,87.7,0,0.0,0.0,0.0,0.0,0,0,1,1.0,1,0,1,1,1555.0,0,0,5.0,4.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_occidentalis,unknown,LC,stable,Bolitoglossa_bilineata,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,nanotriton,0.94,59.86,29.0,0.0,6.83,4.64,3.7,8.14,8.44,0,0,0,0.0,0,0,0,0,1800.0,0,0,5.0,4.0,43.5,26.0,0.0,0,0.0
Bolitoglossa_odonnelli,unknown,EN,decreasing,unknown,False,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,bolitoglossa,0.94,146.36,69.98,69.98,11.96,7.28,7.22,13.9,14.44,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Bolitoglossa_omniumsanctorum,unknown,unknown,unknown,unknown,True,Salamandroidea,Plethodontidae,Bolitoglossinae,Bolitoglossa,magnidigita,0.0,96.65,57.17,57.17,13.38,0.0,0.0,0.0,0.0,0,0,0,0.0,1,1,25.5,25.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
