species,island/mainland,Group,Clade,Nmorpho,SVL,Tail,Head_length,Head_width,Head_depth,Lower_jaw_length,Outlever,Snout,Open,Close,Interlimb,Body_height,Body_width,Femur,Tibia,Tarsus,Ltoe,Hind_limb_length,Humerus,Radius,Carpus,Longest_toe,Forelimb_length
poecilopus,M,M2b,Norops,17,66.05,91.75,16.41,8.96,7.01,16.64,15.56,12.72,1.08,2.84,32.91,9.19,8.33,17.54,16.86,9.94,11.18,55.52,12.17,10.41,4.23,6.88,33.69
polylepis,M,M2b,Norops,22,50.32,89.9,13.41,7.1,5.58,13.66,12.7,10.72,0.96,1.98,25.24,7,6.61,12.75,13.33,7.76,9.32,43.16,8.88,7.89,2.54,5.18,24.49
porcus,I,I2,Anolis,1,111.52,122.38,42.16,19.23,16.21,36.49,33.43,27.26,3.06,6.17,52.67,19.15,17.04,19.17,17.47,11.03,10.98,58.65,18.37,15.08,5.04,7.02,45.51
prasinorius,I,NA,Anolis,2,45.33,59.08,14.4,7.43,5.5,14.68,13.43,11.02,1.25,2.41,19.62,5.95,8.29,8.15,8.09,5.38,5.41,27.02,7.99,5.3,2.54,2.87,18.69
princeps,M,M1,Dactyloa,2,99.41,209.94,25.9,14.59,12.11,27.37,25.84,20.99,1.53,4.86,53.15,14.54,17.04,24.97,25.62,16.07,19.46,86.11,18.59,17.14,6.13,10.73,52.58
proboscis,M,M1,Dactyloa,6,74.4,97.19,22.47,9.76,9.37,21.94,20.61,17.26,1.33,3.35,37.98,10.78,11.85,11.67,11.1,6.41,9.08,38.26,10.88,9.44,3.81,5.99,30.12
pulchellus,I,I2,Anolis,16,44.78,83.46,14.34,5.95,5.06,14.24,13.42,10.58,0.83,2.84,21.54,3.73,3.34,10.39,10.27,4.09,8.17,32.91,6.66,5.93,1.51,4.72,18.82
punctatus,M,M1,Dactyloa,3,77.39,185,21.83,11,9.37,23.11,20.97,17.67,2.14,3.31,37.07,10.91,12.52,16.85,17.58,10.83,10.18,55.45,14.09,10.82,3.78,5.18,33.88
purpuronectes,M,NA,Norops,1,88.84,159,23.53,12.85,10.61,NA,NA,NA,NA,NA,36.71,12.83,10.12,20.19,20.58,11.99,11.72,64.48,15.66,13.48,3.74,5.98,38.86
pygmaeus,M,M2a,Norops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
quaggulus,M,M2b,Norops,3,34.06,57.78,10.37,5.83,4.78,10.52,9.46,7.86,1.06,1.6,14.51,5.32,6.38,8.22,9.17,5.36,4.9,27.66,6.28,4.97,1.81,2.31,15.37
